year,area_fips,area_title,industry_group,annual_avg_emplvl,total_annual_wages_2015,avg_annual_pay_2015
2006,01001,"Autauga County, Alabama",crops,63,1723012.740749561,27349.408583326363
2006,01001,"Autauga County, Alabama",total,11259,384972033.7719168,34192.382429338024
2006,01003,"Baldwin County, Alabama",crops,748,23951970.79748757,32021.351333539533
2006,01003,"Baldwin County, Alabama",total,59291,2056456841.678326,34684.131515378824
2006,01005,"Barbour County, Alabama",crops,30,772952.6687107433,25765.08895702478
2006,01005,"Barbour County, Alabama",total,11095,354549501.3395648,31955.79101753626
2006,01007,"Bibb County, Alabama",crops,0,0.0,
2006,01007,"Bibb County, Alabama",total,4092,137850572.9616289,33687.823304405894
2006,01009,"Blount County, Alabama",crops,0,0.0,
2006,01009,"Blount County, Alabama",total,8572,281724770.696276,32865.69886797434
2006,01011,"Bullock County, Alabama",crops,149,7423391.986425743,49821.422727689554
2006,01011,"Bullock County, Alabama",total,3048,96143941.84800406,31543.288007875348
2006,01013,"Butler County, Alabama",crops,0,0.0,
2006,01013,"Butler County, Alabama",total,6935,212996579.138511,30713.277453282048
2006,01015,"Calhoun County, Alabama",crops,85,1636392.1203822226,19251.672004496737
2006,01015,"Calhoun County, Alabama",total,49512,1905148707.0222964,38478.5245399559
2006,01017,"Chambers County, Alabama",crops,0,0.0,
2006,01017,"Chambers County, Alabama",total,10195,350677568.8982824,34397.01509546664
2006,01019,"Cherokee County, Alabama",crops,163,3685420.6679963088,22609.942748443613
2006,01019,"Cherokee County, Alabama",total,5114,156976198.2853571,30695.384881767128
2006,01021,"Chilton County, Alabama",crops,82,1332353.9427856994,16248.21881445975
2006,01021,"Chilton County, Alabama",total,9057,295132936.519513,32586.16942911704
2006,01023,"Choctaw County, Alabama",total,3927,202563283.15422857,51582.19586305795
2006,01025,"Clarke County, Alabama",crops,0,0.0,
2006,01025,"Clarke County, Alabama",total,8914,310453695.79972017,34827.65265870767
2006,01027,"Clay County, Alabama",total,4960,161088237.29646057,32477.467196867052
2006,01029,"Cleburne County, Alabama",crops,0,0.0,
2006,01029,"Cleburne County, Alabama",total,2689,93713749.4120799,34850.78074082555
2006,01031,"Coffee County, Alabama",crops,0,0.0,
2006,01031,"Coffee County, Alabama",total,15088,462682677.95374036,30665.60696936243
2006,01033,"Colbert County, Alabama",crops,0,0.0,
2006,01033,"Colbert County, Alabama",total,21496,858881784.5086775,39955.42354431882
2006,01035,"Conecuh County, Alabama",crops,0,0.0,
2006,01035,"Conecuh County, Alabama",total,4182,144913365.32908642,34651.68946176146
2006,01037,"Coosa County, Alabama",total,1680,62780550.7546215,37369.37544917946
2006,01039,"Covington County, Alabama",crops,41,914729.6014050547,22310.478083050115
2006,01039,"Covington County, Alabama",total,13568,428431739.1569672,31576.631718526474
2006,01041,"Crenshaw County, Alabama",crops,0,0.0,
2006,01041,"Crenshaw County, Alabama",total,3669,115133068.58571726,31379.958731457416
2006,01043,"Cullman County, Alabama",crops,0,0.0,
2006,01043,"Cullman County, Alabama",total,27562,970870009.6746346,35224.94774234942
2006,01045,"Dale County, Alabama",crops,16,673008.6029827642,42063.037686422766
2006,01045,"Dale County, Alabama",total,18118,807860163.7543536,44588.81574977114
2006,01047,"Dallas County, Alabama",crops,68,1514595.0644479506,22273.45683011692
2006,01047,"Dallas County, Alabama",total,15610,544534761.8551484,34883.71312332789
2006,01049,"DeKalb County, Alabama",crops,0,0.0,
2006,01049,"DeKalb County, Alabama",total,23973,793743989.2685976,33109.91487375788
2006,01051,"Elmore County, Alabama",crops,43,1028499.1962611258,23918.585959561067
2006,01051,"Elmore County, Alabama",total,16490,579666158.0388771,35152.58690350983
2006,01053,"Escambia County, Alabama",crops,36,785935.1204119907,21831.531122555298
2006,01053,"Escambia County, Alabama",total,12681,439304046.8401155,34642.69748758895
2006,01055,"Etowah County, Alabama",crops,0,0.0,
2006,01055,"Etowah County, Alabama",total,36555,1267965389.3966005,34686.51044717824
2006,01057,"Fayette County, Alabama",total,5400,187207252.19539785,34668.00966581442
2006,01059,"Franklin County, Alabama",total,10981,340248241.3746912,30985.17815997552
2006,01061,"Geneva County, Alabama",crops,133,3104721.4002917274,23343.76992700547
2006,01061,"Geneva County, Alabama",total,5999,166635971.31842944,27777.291434977404
2006,01063,"Greene County, Alabama",crops,0,0.0,
2006,01063,"Greene County, Alabama",total,2420,78210298.66341202,32318.305232814884
2006,01065,"Hale County, Alabama",crops,0,0.0,
