year,area_fips,area_title,industry_group,annual_avg_emplvl,total_annual_wages_2015,avg_annual_pay_2015
1996,01001,"Autauga County, Alabama",total,9518,315150844.43254405,33111.036397619675
1996,01003,"Baldwin County, Alabama",crops,845,21187010.997207664,25073.38579551203
1996,01003,"Baldwin County, Alabama",total,40067,1155656572.1608078,28843.102107989314
1996,01005,"Barbour County, Alabama",crops,45,948252.3237577936,21072.273861284302
1996,01005,"Barbour County, Alabama",total,10043,309980466.22422826,30865.325721819005
1996,01007,"Bibb County, Alabama",total,4245,125741687.3159163,29621.127754043886
1996,01009,"Blount County, Alabama",total,8744,251974024.9780056,28816.791511665782
1996,01011,"Bullock County, Alabama",total,3333,89565511.91523543,26872.340808651494
1996,01013,"Butler County, Alabama",total,7225,202867409.82289714,28078.534231542857
1996,01015,"Calhoun County, Alabama",crops,124,2459753.2226599855,19836.719537580528
1996,01015,"Calhoun County, Alabama",total,46282,1566494531.0216885,33846.73374144783
1996,01017,"Chambers County, Alabama",total,13000,428268966.0329725,32943.76661792096
1996,01019,"Cherokee County, Alabama",crops,289,6691604.90379834,23154.342227675916
1996,01019,"Cherokee County, Alabama",total,4859,133765387.90498412,27529.406854287736
1996,01021,"Chilton County, Alabama",crops,66,1305669.6821328844,19782.87397171037
1996,01021,"Chilton County, Alabama",total,7760,222442486.0000765,28665.268814442847
1996,01023,"Choctaw County, Alabama",total,5083,245623218.81574416,48322.49042214129
1996,01025,"Clarke County, Alabama",total,10607,344196395.7655969,32449.928892768636
1996,01027,"Clay County, Alabama",total,5773,156392977.18318477,27090.41697266322
1996,01029,"Cleburne County, Alabama",total,2942,85847269.02038786,29179.901094625377
1996,01031,"Coffee County, Alabama",total,14609,411361222.4304785,28158.068480421556
1996,01033,"Colbert County, Alabama",total,23515,932343322.9162682,39648.87616058976
1996,01035,"Conecuh County, Alabama",total,4710,156234613.0512948,33170.83079645325
1996,01037,"Coosa County, Alabama",total,2233,74489851.83414298,33358.64390243752
1996,01039,"Covington County, Alabama",total,13781,400432900.6808706,29056.882713944604
1996,01041,"Crenshaw County, Alabama",total,3591,97630963.77615422,27187.68136345147
1996,01043,"Cullman County, Alabama",crops,56,981439.6970508357,17525.70887590778
1996,01043,"Cullman County, Alabama",total,24101,780110894.0442948,32368.403553557728
1996,01045,"Dale County, Alabama",total,16923,614065570.6690127,36285.85774797688
1996,01047,"Dallas County, Alabama",total,17568,526308862.00895077,29958.382400327344
1996,01049,"DeKalb County, Alabama",total,22390,665743281.8153999,29733.95631154086
1996,01051,"Elmore County, Alabama",crops,33,843899.0743219982,25572.69922187873
1996,01051,"Elmore County, Alabama",total,11568,359030500.4207627,31036.523203731216
1996,01053,"Escambia County, Alabama",total,13739,445857331.0637647,32451.94927314686
1996,01055,"Etowah County, Alabama",total,37280,1310666961.7105918,35157.37558236566
1996,01057,"Fayette County, Alabama",total,6484,205255353.51719388,31655.66834009776
1996,01059,"Franklin County, Alabama",total,11040,324024439.42929274,29350.039803377964
1996,01061,"Geneva County, Alabama",total,6351,164782884.15637073,25945.974516827388
1996,01063,"Greene County, Alabama",total,2248,66648727.881268404,29648.010623340037
1996,01065,"Hale County, Alabama",total,3747,93207805.35898711,24875.31501440809
1996,01067,"Henry County, Alabama",crops,94,2089648.6631220593,22230.304926830417
1996,01067,"Henry County, Alabama",total,4495,135082010.2513101,30051.615183828722
1996,01069,"Houston County, Alabama",crops,42,900936.3309490111,21450.865022595503
1996,01069,"Houston County, Alabama",total,45679,1590950352.4844127,34828.92253517837
1996,01071,"Jackson County, Alabama",total,16720,593270069.4449757,35482.65965579999
1996,01073,"Jefferson County, Alabama",total,367933,16255078351.700264,44179.45210595479
1996,01075,"Lamar County, Alabama",total,5944,179879422.13976973,30262.352311535957
1996,01077,"Lauderdale County, Alabama",total,32743,1007138240.2172666,30758.887097005972
1996,01079,"Lawrence County, Alabama",crops,69,1736673.4116207014,25169.17987856089
1996,01079,"Lawrence County, Alabama",total,6766,301026373.90506065,44491.03959578195
1996,01081,"Lee County, Alabama",total,38408,1277790872.8340282,33268.872964851806
1996,01083,"Limestone County, Alabama",crops,264,7280013.330528248,27575.808070182757
1996,01083,"Limestone County, Alabama",total,20607,1067409078.6826302,51798.37330434465
1996,01085,"Lowndes County, Alabama",total,2544,93387609.45568603,36708.96598100866
1996,01087,"Macon County, Alabama",crops,57,1449253.9876831274,25425.50855584434
1996,01087,"Macon County, Alabama",total,6624,236893186.97165588,35762.86035200119
1996,01089,"Madison County, Alabama",crops,137,2830194.7175152046,20658.355602300762
1996,01089,"Madison County, Alabama",total,140743,6679387198.580882,47458.041952927546
1996,01091,"Marengo County, Alabama",total,7848,255081982.82523045,32502.80107355128
1996,01093,"Marion County, Alabama",total,12574,414909548.69372296,32997.41917398783
1996,01095,"Marshall County, Alabama",total,35908,1103123463.833531,30720.827220494903
1996,01097,"Mobile County, Alabama",crops,708,18811405.48139081,26569.781753376854
1996,01097,"Mobile County, Alabama",total,165228,6377407074.111617,38597.61707526338
