year,area_fips,area_title,industry_group,annual_avg_emplvl,total_annual_wages_2015,avg_annual_pay_2015
1992,01001,"Autauga County, Alabama",total,8397,276217633.61319387,32894.799763390954
1992,01003,"Baldwin County, Alabama",crops,602,14489220.365196569,24068.47236743616
1992,01003,"Baldwin County, Alabama",total,30474,846567515.1024889,27779.993276317153
1992,01005,"Barbour County, Alabama",total,9161,288862296.7685378,31531.742906728286
1992,01007,"Bibb County, Alabama",total,4120,118828080.17361805,28841.767032431566
1992,01009,"Blount County, Alabama",total,7852,203656631.34675145,25936.911786392186
1992,01011,"Bullock County, Alabama",total,3074,83026526.53448129,27009.279939649085
1992,01013,"Butler County, Alabama",total,6194,171410898.63015652,27673.700134025916
1992,01015,"Calhoun County, Alabama",crops,119,2239272.308065114,18817.414353488355
1992,01015,"Calhoun County, Alabama",total,45578,1548379888.5238192,33972.08935284171
1992,01017,"Chambers County, Alabama",total,12993,406471783.3052998,31283.905434102966
1992,01019,"Cherokee County, Alabama",crops,269,5802795.71371554,21571.731277752937
1992,01019,"Cherokee County, Alabama",total,4303,118193834.74213873,27467.77474834737
1992,01021,"Chilton County, Alabama",crops,55,1362618.2469994584,24774.877218171972
1992,01021,"Chilton County, Alabama",total,6468,178782793.19069478,27641.12448835726
1992,01023,"Choctaw County, Alabama",total,5836,268632128.5885338,46030.17967589682
1992,01025,"Clarke County, Alabama",total,8935,277342479.9227414,31040.008944906705
1992,01027,"Clay County, Alabama",total,4970,131522991.89639936,26463.378651186995
1992,01029,"Cleburne County, Alabama",total,2846,80085216.80873507,28139.570206864046
1992,01031,"Coffee County, Alabama",total,13355,369587821.3359181,27674.116161431535
1992,01033,"Colbert County, Alabama",total,22044,898180628.0967586,40744.902381453394
1992,01035,"Conecuh County, Alabama",total,4031,125729064.1731049,31190.539363211337
1992,01037,"Coosa County, Alabama",total,2097,68444254.76808165,32639.129598512947
1992,01039,"Covington County, Alabama",total,12821,373739714.7917439,29150.590031334832
1992,01041,"Crenshaw County, Alabama",total,3601,91210647.93882032,25329.25518989734
1992,01043,"Cullman County, Alabama",crops,73,1011922.1640961315,13861.947453371664
1992,01043,"Cullman County, Alabama",total,21409,666353553.2542692,31124.926584813362
1992,01045,"Dale County, Alabama",total,17979,672516335.3265673,37405.65856424536
1992,01047,"Dallas County, Alabama",total,17340,502086856.3517405,28955.41270771283
1992,01049,"DeKalb County, Alabama",total,19838,581094342.0617499,29291.98215857193
1992,01051,"Elmore County, Alabama",crops,29,854163.1482167803,29453.901662647597
1992,01051,"Elmore County, Alabama",total,10301,317242168.4152009,30797.22050433947
1992,01053,"Escambia County, Alabama",total,12450,410730339.2607692,32990.38869564411
1992,01055,"Etowah County, Alabama",total,34214,1230197741.839382,35955.97538549664
1992,01057,"Fayette County, Alabama",total,6005,198524642.52216554,33059.890511601254
1992,01059,"Franklin County, Alabama",total,9848,276670416.3126835,28094.07151834723
1992,01061,"Geneva County, Alabama",total,6641,172337127.29138753,25950.47843568552
1992,01063,"Greene County, Alabama",total,2467,68322313.98779827,27694.492901418027
1992,01065,"Hale County, Alabama",total,3174,79386159.03583544,25011.39226081772
1992,01067,"Henry County, Alabama",crops,64,1547650.1339909344,24182.03334360835
1992,01067,"Henry County, Alabama",total,4601,126038675.27867264,27393.75685256958
1992,01069,"Houston County, Alabama",total,42108,1493853517.3689313,35476.7150510338
1992,01071,"Jackson County, Alabama",total,15966,561621539.1139493,35176.09539734118
1992,01073,"Jefferson County, Alabama",total,344410,14649797962.88166,42535.92509765007
1992,01075,"Lamar County, Alabama",total,5708,166984127.87581608,29254.402220710595
1992,01077,"Lauderdale County, Alabama",total,29014,884291728.4545429,30478.104654806055
1992,01079,"Lawrence County, Alabama",crops,55,1344128.909256778,24438.707441032326
