year,area_fips,area_title,industry_group,annual_avg_emplvl,total_annual_wages_2015,avg_annual_pay_2015
1998,01001,"Autauga County, Alabama",total,10258,344643711.130742,33597.55421434412
1998,01003,"Baldwin County, Alabama",crops,872,22952122.865135454,26321.241817815888
1998,01003,"Baldwin County, Alabama",total,45531,1374499211.609246,30188.206092755398
1998,01005,"Barbour County, Alabama",crops,46,1038526.6489988221,22576.66628258309
1998,01005,"Barbour County, Alabama",total,10895,350762875.8465842,32194.848632086665
1998,01007,"Bibb County, Alabama",total,4278,131337939.0827444,30700.78052425068
1998,01009,"Blount County, Alabama",total,8940,272629585.928298,30495.479410324162
1998,01011,"Bullock County, Alabama",total,3486,102549387.34908715,29417.49493662856
1998,01013,"Butler County, Alabama",total,7120,199634738.88398114,28038.586921907463
1998,01015,"Calhoun County, Alabama",crops,92,1699347.633244994,18471.16992657602
1998,01015,"Calhoun County, Alabama",total,48365,1676753019.6922848,34668.72779266587
1998,01017,"Chambers County, Alabama",total,13111,454620616.36852175,34674.74764461305
1998,01019,"Cherokee County, Alabama",crops,304,6951235.239988221,22865.905394698097
1998,01019,"Cherokee County, Alabama",total,4786,135825331.2904888,28379.718196926202
1998,01021,"Chilton County, Alabama",crops,73,1325679.4942579505,18159.99307202672
1998,01021,"Chilton County, Alabama",total,7964,234379308.46952295,29429.847874123927
1998,01023,"Choctaw County, Alabama",total,4610,243811572.0332744,52887.5427404066
1998,01025,"Clarke County, Alabama",total,10025,330974937.35276794,33014.956344415754
1998,01027,"Clay County, Alabama",total,5499,157226701.1373675,28591.87145614975
1998,01029,"Cleburne County, Alabama",total,3075,96953443.51810953,31529.575127840497
1998,01031,"Coffee County, Alabama",total,15117,433236375.110424,28658.8856989101
1998,01033,"Colbert County, Alabama",total,22323,861719419.2616313,38602.31238012952
1998,01035,"Conecuh County, Alabama",total,4498,160915025.26869845,35774.794412783114
1998,01037,"Coosa County, Alabama",total,2162,77580650.48954652,35883.742132075175
1998,01039,"Covington County, Alabama",total,13820,423095686.4325677,30614.738526235
1998,01041,"Crenshaw County, Alabama",total,3441,100376693.97820966,29170.791624007456
1998,01043,"Cullman County, Alabama",crops,55,1059633.152974087,19266.057326801583
1998,01043,"Cullman County, Alabama",total,25245,852234516.6556243,33758.54690654087
1998,01045,"Dale County, Alabama",total,16801,680499765.606596,40503.52750470782
1998,01047,"Dallas County, Alabama",total,17865,539725728.9826266,30211.347829981896
1998,01049,"DeKalb County, Alabama",total,23330,723026413.8508539,30991.273632698412
1998,01051,"Elmore County, Alabama",crops,54,1553451.4870435805,28767.620130436677
1998,01051,"Elmore County, Alabama",total,12669,407008370.74867487,32126.32178930262
1998,01053,"Escambia County, Alabama",total,13860,459600040.04711425,33160.17604957534
1998,01055,"Etowah County, Alabama",total,38157,1355524298.7890165,35524.918069791034
1998,01057,"Fayette County, Alabama",total,5993,178906952.49926382,29852.65351230833
1998,01059,"Franklin County, Alabama",total,11554,347478058.579947,30074.265066639
1998,01061,"Geneva County, Alabama",total,6352,169405100.13618964,26669.56866123892
1998,01063,"Greene County, Alabama",total,2144,65541258.98115429,30569.617062105546
1998,01065,"Hale County, Alabama",total,3935,106701538.42756183,27116.019930765397
1998,01067,"Henry County, Alabama",crops,70,1753421.6909599528,25048.881299427896
1998,01067,"Henry County, Alabama",total,4494,139696475.22820964,31085.107972454305
1998,01069,"Houston County, Alabama",crops,63,1418359.3934040046,22513.64116514293
1998,01069,"Houston County, Alabama",total,47443,1691142733.8964958,35645.779859968716
1998,01071,"Jackson County, Alabama",total,17086,614273063.5674323,35951.83562960508
1998,01073,"Jefferson County, Alabama",total,379695,17307507335.67064,45582.65801675197
1998,01075,"Lamar County, Alabama",total,5640,183015864.1048292,32449.621295182482
1998,01077,"Lauderdale County, Alabama",total,31752,992365625.6441401,31253.641523184055
1998,01079,"Lawrence County, Alabama",crops,69,1716358.4547997643,24874.76021448934
1998,01079,"Lawrence County, Alabama",total,7193,321412747.46024734,44684.10224666305
1998,01081,"Lee County, Alabama",total,39353,1349264911.1086571,34286.20209662941
1998,01083,"Limestone County, Alabama",crops,315,7684784.029004711,24396.13977461813
1998,01083,"Limestone County, Alabama",total,20764,1034499284.6547408,49821.772522382045
1998,01085,"Lowndes County, Alabama",total,2531,99134864.74896938,39168.25948201081
1998,01087,"Macon County, Alabama",crops,60,1785543.0653710247,29759.051089517077
1998,01087,"Macon County, Alabama",total,6344,204423352.03180212,32223.10088773678
1998,01089,"Madison County, Alabama",crops,91,2224323.395170789,24443.114232646036
1998,01089,"Madison County, Alabama",total,148532,7242785064.211572,48762.45566081095
1998,01091,"Marengo County, Alabama",total,7930,269559654.59363955,33992.390238794396
1998,01093,"Marion County, Alabama",total,12991,445386796.3964959,34284.258055307204
